Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,53.22503,82.4674,76.51538,85.28721,69.1897,56.97648,85.77858,62.50058,82.07455,85.05056,92.72326,65.2284,71.7989,78.73003,77.02075,90.76928,92.71112,80.78953,72.87092,75.68128,90.57562,85.71523,74.05153,60.06021,85.88543,91.01845,83.52657,78.03577,67.4717,65.6731,65.36531,82.13783,66.64491,73.50514,86.01543,82.59217,90.63743,84.25054,83.63416,71.60885,79.542,82.41009,70.59395,83.29168,74.08302,85.61654,62.04127
2002,53.75991,83.20816,76.74297,85.621,70.23858,58.29794,86.09906,63.74945,82.65969,85.42933,93.0783,65.83166,72.06074,79.61348,76.64609,91.03628,92.87021,81.10696,73.404,76.69918,91.09058,85.89194,74.18394,60.9441,86.6575,91.30489,83.91381,79.3348,68.60595,66.17435,66.57423,82.75663,66.92239,73.74967,86.31439,82.68958,91.11155,85.35161,84.17421,71.97888,79.69098,83.07908,70.73949,83.86458,74.20316,85.86019,62.33563
2003,54.40568,83.56261,77.59373,85.91809,70.95364,59.48623,86.3849,65.0569,83.13934,85.7079,93.20112,66.43485,72.43363,80.36276,76.68379,91.26863,92.96542,81.38848,73.81775,76.79999,91.57007,86.05434,74.53841,61.84355,87.21447,91.55087,84.12523,80.79427,69.67323,66.60603,67.54804,83.25779,67.22569,73.97949,86.62402,82.664,91.35058,85.64295,84.63927,72.59842,80.23562,83.60996,70.99511,84.23751,74.30679,86.0448,62.59279
2004,55.05144,83.91706,78.44449,86.21518,71.66869,60.67451,86.67075,66.36435,83.61899,85.98648,93.32394,67.03805,72.80653,81.11204,76.7215,91.50097,93.06062,81.66999,74.23149,76.90081,92.04956,86.21674,74.89289,62.743,87.77145,91.79685,84.33666,82.25374,70.74052,67.03771,68.52185,83.75895,67.529,74.2093,86.93365,82.63843,91.58961,85.93428,85.10433,73.21797,80.78026,84.14085,71.25072,84.61043,74.41042,86.22942,62.84994
2005,55.6972,84.27151,79.29525,86.51228,72.38375,61.86279,86.9566,67.6718,84.09864,86.26505,93.44676,67.64124,73.17943,81.86132,76.7592,91.73332,93.15583,81.95151,74.64524,77.00163,92.52905,86.37914,75.24737,63.64244,88.32842,92.04282,84.54808,83.71321,71.80781,67.4694,69.49567,84.26011,67.8323,74.43912,87.24328,82.61285,91.82864,86.22562,85.56939,73.83751,81.32491,84.67173,71.50633,84.98335,74.51404,86.41403,63.1071
2006,56.34296,84.62596,80.146,86.80937,73.0988,63.05107,87.24245,68.97925,84.57829,86.54362,93.56958,68.24444,73.55233,82.6106,76.7969,91.96567,93.25103,82.23303,75.05899,77.10244,93.00854,86.54154,75.60185,64.54189,88.88539,92.2888,84.7595,85.17268,72.8751,67.90108,70.46948,84.76127,68.1356,74.66894,87.55291,82.58727,92.06767,86.51695,86.03445,74.45706,81.86955,85.20262,71.76195,85.35628,74.61767,86.59864,63.36426
2007,56.98872,84.98041,80.99676,87.10647,73.81386,64.23935,87.5283,70.2867,85.05794,86.82219,93.6924,68.84763,73.92522,83.35988,76.83461,92.19801,93.34623,82.51454,75.47273,77.20326,93.48803,86.70393,75.95633,65.44134,89.44237,92.53478,84.97092,86.63215,73.94239,68.33276,71.44329,85.26244,68.4389,74.89876,87.86254,82.56169,92.3067,86.80829,86.49951,75.0766,82.41419,85.7335,72.01756,85.7292,74.7213,86.78326,63.62142
2008,57.57401,85.36813,81.17806,87.29212,74.40184,64.78465,88.16086,71.02131,85.32659,87.03227,93.87714,69.61647,74.18073,84.14564,76.88954,92.3576,93.44225,82.75546,76.36607,77.69464,93.58522,86.87095,76.99815,66.20756,89.68902,92.6812,85.18492,86.8106,74.5557,68.79307,72.22907,85.57503,69.01184,75.11492,88.16459,82.84276,92.49381,86.85017,86.16674,75.61991,82.67055,86.01925,72.25468,85.96732,74.92595,86.91226,64.10779
2009,58.15931,85.75585,81.35936,87.47777,74.98983,65.32995,88.79343,71.75593,85.59524,87.24235,94.06188,70.38531,74.43624,84.9314,76.94447,92.51718,93.53827,82.99637,77.25941,78.18602,93.68242,87.03797,78.03996,66.97379,89.93568,92.82761,85.39892,86.98905,75.16901,69.25338,73.01484,85.88763,69.58479,75.33108,88.46664,83.12382,92.68093,86.89206,85.83397,76.16322,82.92691,86.30501,72.4918,86.20543,75.13061,87.04127,64.59417
2010,58.74461,86.14358,81.54066,87.66342,75.57781,65.87524,89.426,72.49055,85.86389,87.45242,94.24662,71.15415,74.69175,85.71717,76.9994,92.67677,93.63429,83.23729,78.15275,78.67741,93.77961,87.20498,79.08178,67.74001,90.18233,92.97403,85.61293,87.1675,75.78232,69.71369,73.80061,86.20023,70.15773,75.54723,88.7687,83.40489,92.86804,86.93395,85.50119,76.70653,83.18326,86.59076,72.72892,86.44355,75.33526,87.17027,65.08054
2011,59.3299,86.5313,81.72197,87.84907,76.1658,66.42054,90.05856,73.22516,86.13254,87.6625,94.43135,71.92298,74.94726,86.50293,77.05433,92.83635,93.73031,83.47821,79.04608,79.16879,93.87681,87.372,80.1236,68.50624,90.42898,93.12044,85.82693,87.34595,76.39563,70.174,74.58638,86.51283,70.73067,75.76339,89.07075,83.68595,93.05516,86.97584,85.16842,77.24984,83.43962,86.87652,72.96604,86.68166,75.53991,87.29928,65.56692
2012,59.9152,86.91902,81.90327,88.03472,76.75378,66.96584,90.69113,73.95978,86.40119,87.87257,94.61609,72.69182,75.20276,87.2887,77.10926,92.99594,93.82632,83.71912,79.93942,79.66017,93.974,87.53902,81.16541,69.27246,90.67564,93.26686,86.04093,87.5244,77.00894,70.63431,75.37216,86.82543,71.30362,75.97955,89.3728,83.96702,93.24227,87.01773,84.83564,77.79315,83.69598,87.16227,73.20316,86.91978,75.74457,87.42828,66.05329
2013,60.48056,87.05511,82.08116,88.19963,77.35162,67.60522,90.94431,74.75428,86.65279,88.02126,94.72423,73.2126,75.57218,87.48807,77.40211,93.10509,93.94395,83.93425,80.16789,80.09339,94.18339,87.71512,81.37181,70.01484,90.91896,93.44139,86.31945,87.79764,77.32052,70.94457,76.0348,87.05803,71.59345,76.27306,89.50809,84.18479,93.38928,87.19946,85.06972,78.04359,83.91618,87.43233,73.42198,87.13123,75.9387,87.52471,66.3879
