Year,Afghanistan,United Arab Emirates,Armenia,Azerbaijan,Bangladesh,Bahrain,Brunei Darussalam,Bhutan,China,Georgia,"Hong Kong SAR, China",Indonesia,India,"Iran, Islamic Rep.",Iraq,Israel,Jordan,Japan,Kazakhstan,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Sri Lanka,"Macao SAR, China",Maldives,Myanmar,Mongolia,Malaysia,Nepal,Oman,Pakistan,Philippines,"Korea, Dem. Rep.",Qatar,Saudi Arabia,Singapore,Syrian Arab Republic,Thailand,Tajikistan,Turkmenistan,Turkey,Uzbekistan,Vietnam,"Yemen, Rep."
2001,2.216601497,1.017538026,10.41026968,5.836060797,3.916760475,2.402528159,2.53890837,3.875795476,6.829778016,12.95765967,11.27831075,4.769101435,4.491096222,4.353036822,3.448497893,10.02172927,3.186634358,17.7031691,7.045318451,5.553903878,3.154106783,7.730121213,2.083544805,3.601341346,7.11017523,6.361303326,7.270457077,3.855267124,4.805038144,3.718267624,4.0673311,3.864754071,2.509123024,4.127066309,3.273638623,6.211893441,1.606432901,2.895927955,7.520983725,3.361441737,6.797005713,3.602911287,4.393595271,6.120327389,4.775195309,6.505642588,2.718951145
2002,2.200722583,0.982009746,10.86616158,6.063220789,4.003240703,2.371357868,2.653305493,3.925998586,7.005524845,13.4720908,11.54284872,4.808542992,4.57246575,4.500316906,3.429029418,10.02627313,3.250883035,18.22646692,7.331769627,5.65313403,3.21832136,8.11180276,2.116280607,3.62958305,7.147439482,6.486268921,7.2011671,4.02657963,4.838371991,3.735538692,4.176021188,3.969528207,2.545881699,4.159290243,3.313166379,6.519866416,1.535337995,2.880192616,7.694080078,3.365508417,7.036327378,3.680283112,4.489201708,6.237565022,4.910473177,6.550027511,2.654032634
2003,2.18880324,0.950466628,11.27795233,6.254646698,4.085898189,2.347310578,2.763211722,3.975350136,7.177537252,13.98459307,11.79823954,4.825173946,4.648814896,4.650858933,3.409584374,10.03381956,3.317654721,18.75494274,7.587974205,5.726323817,3.276249055,8.47516682,2.166562579,3.650311713,7.218765332,6.605312412,7.179969562,4.190226308,4.861342452,3.743188156,4.287465902,4.087945185,2.571994591,4.192963564,3.349136948,6.831375247,1.459370066,2.86432587,7.845007454,3.373177097,7.274393327,3.748520367,4.565304572,6.345135214,5.040324338,6.56922274,2.588152624
2004,2.180379875,0.9231013,11.53764299,6.380186679,4.168486354,2.32342272,2.875456846,4.023114461,7.340263483,14.38472882,12.01630295,4.820225823,4.717413046,4.796678189,3.390410451,10.03504612,3.38274197,19.29354466,7.709699595,5.71710768,3.331649423,8.829657467,2.227854856,3.663189309,7.324855026,6.724899881,7.212497738,4.341201066,4.87529625,3.739734625,4.391676292,4.221011639,2.58684565,4.227374068,3.384501126,7.13821173,1.374409913,2.847257058,8.00223074,3.385083437,7.499981423,3.774006889,4.597374936,6.446835043,5.124207443,6.578161993,2.531731369
2005,2.176045621,0.899424718,11.60091638,6.420698886,4.253191697,2.296502709,3.000091188,4.06979512,7.492331173,14.60065118,12.16460735,4.798606551,4.778034144,4.930319058,3.371647459,10.02697437,3.442520526,19.84677216,7.662056704,5.599465934,3.386847114,9.194016712,2.284454348,3.667703392,7.46503832,6.851952172,7.309211384,4.474895727,4.882269584,3.724875289,4.492138757,4.368752437,2.591855809,4.262001276,3.422896452,7.437756275,1.282075792,2.829175562,8.221031064,3.403928629,7.709982816,3.743460402,4.573554411,6.545945493,5.140686343,6.582130356,2.489784502
2006,2.197007856,0.815701411,11.51573816,6.418381515,4.358385951,2.20927118,3.126443026,4.153121814,7.632393727,14.69850216,12.26892254,4.862756897,4.854753013,4.949638175,3.370749262,10.05746105,3.503333865,20.39357423,7.582026155,5.433236739,3.458414416,9.566035136,2.198118601,3.682514172,7.635885366,6.921553822,7.26515859,4.601699724,4.919355577,3.765901995,4.59775743,4.487828805,2.642501535,4.30890078,3.561733925,7.745844715,1.214631422,2.825232768,8.449201963,3.426186179,7.941601541,3.69870579,4.512251556,6.645499659,5.109003192,6.574804535,2.480765477
2007,2.213285774,0.756227018,11.30173283,6.35221038,4.457383335,2.138387326,3.242277526,4.232461836,7.770534712,14.65483021,12.33989759,4.910089389,4.92439871,4.954183552,3.366748362,10.08852782,3.564019596,20.95762896,7.407210883,5.204250883,3.527864984,9.945382914,2.098289957,3.686792823,7.819674129,6.989279602,7.212862712,4.714831308,4.954891055,3.797512782,4.685051592,4.608377678,2.694053012,4.348083009,3.702581005,8.035656186,1.171037062,2.819469702,8.643452006,3.44768812,8.163611749,3.61451248,4.419403343,6.742399234,5.024828015,6.570618968,2.481104073
2008,2.228684731,0.717593928,11.02338834,6.233418535,4.547246237,2.085273312,3.343610322,4.311285054,7.913119167,14.53041358,12.43974286,4.939457942,4.989128335,4.947876343,3.354541819,10.1424228,3.621792552,21.5566515,7.185784388,4.948521403,3.596241045,10.3273579,1.99886149,3.68494331,8.017031242,7.069090721,7.166541159,4.808644783,4.987753676,3.817823252,4.764288513,4.728814231,2.739227103,4.380121435,3.843185909,8.305061878,1.13545223,2.810157574,8.78077367,3.46972196,8.388531156,3.509711511,4.310731725,6.838673641,4.911845814,6.566689235,2.489528708
2009,2.248437744,0.698689741,10.75840799,6.083845332,4.624226238,2.052935642,3.430815335,4.3952644,8.068971517,14.40630197,12.62761943,4.948288778,5.051202522,4.938295633,3.326392762,10.25153092,3.674771995,22.21502876,6.975271264,4.705398016,3.664038831,10.70865684,1.916048039,3.68207974,8.215571405,7.177803256,7.152980888,4.873084328,5.014955794,3.82304729,4.84731941,4.848622549,2.768246893,4.406025516,3.989804618,8.552603775,1.100021305,2.794170822,8.884303555,3.494916655,8.630807834,3.408568623,4.207023153,6.935396231,4.80247189,6.557764666,2.504358021
2010,2.27524959,0.696888499,10.54774496,5.920542143,4.686307901,2.045636354,3.50849983,4.487633392,8.246020354,14.32223752,12.91361922,4.934162393,5.113297754,4.932588046,3.279703524,10.43488679,3.723354964,22.94219952,6.800831164,4.489706138,3.732605493,11.08888868,1.855875179,3.681660891,8.396239379,7.328528959,7.201295859,4.907163798,5.03706405,3.81253509,4.984854103,4.971608403,2.777514508,4.426309443,4.154121466,8.777679939,1.058332621,2.770445266,9.011193431,3.526644641,8.898789756,3.325034399,4.122495163,7.033419639,4.71630184,6.545221402,2.525465018
2011,2.309681498,0.764202913,10.44557518,5.872926527,4.773264097,2.124326385,3.63931775,4.594221068,8.446428846,14.28662323,13.22669068,4.986422966,5.203136282,4.921143001,3.224817384,10.52743407,3.743182142,23.58728878,6.802762182,4.421149596,3.79613679,11.45006031,1.851393917,3.698796386,8.32014649,7.679002315,7.446925269,4.880130412,5.08333258,3.862201594,5.133851765,5.060053746,2.662520876,4.447717888,4.228986092,9.031007993,1.075028983,2.764168726,9.413435578,3.622662066,9.157059991,3.266913208,4.095876923,7.110828594,4.659299651,6.537912655,2.57076766
2012,2.350811152,0.847714537,10.40163662,5.770446266,4.850576289,2.209396233,3.786077847,4.712986631,8.654204825,14.25106066,13.60698848,5.025391427,5.289802,4.914220923,3.15651111,10.6627884,3.756163279,24.28678738,6.794115016,4.349592704,3.860552559,11.83718476,1.87493731,3.719436742,8.24345683,8.072231611,7.753651641,4.83125832,5.120666759,3.900989161,5.307692308,5.15166716,2.57785756,4.467148317,4.314323618,9.268938661,1.095988141,2.757562734,9.900228775,3.716442605,9.435253609,3.202096501,4.082029932,7.187400713,4.622671208,6.536525428,2.618440085
2013,2.394413754,0.941860699,10.44077385,5.639170577,4.913918336,2.296900833,3.958454334,4.836762576,8.889287515,14.19509558,14.04321371,5.061722953,5.381406846,4.92439611,3.092499139,10.83499258,3.765687129,25.0093263,6.763278978,4.280089208,3.930805347,12.24700761,1.912491593,3.744203064,8.174708104,8.489827896,8.119093892,4.775128093,5.165964883,3.937815607,5.460436822,5.257319917,2.530745509,4.482629499,4.404079315,9.458784156,1.121026723,2.762585978,10.45428416,3.816190715,9.740725703,3.127654281,4.084225303,7.274423096,4.608408927,6.556944442,2.669350282
